,Player-Season,Season,Assists
3126,Tyrese Haliburton (2023-24),2023-24,11
3100,Tyrese Haliburton (2023-24),2023-24,20
3107,Tyrese Haliburton (2023-24),2023-24,7
3106,Tyrese Haliburton (2023-24),2023-24,11
3105,Tyrese Haliburton (2023-24),2023-24,11
3104,Tyrese Haliburton (2023-24),2023-24,13
3103,Tyrese Haliburton (2023-24),2023-24,14
3101,Tyrese Haliburton (2023-24),2023-24,10
3099,Tyrese Haliburton (2023-24),2023-24,23
3109,Tyrese Haliburton (2023-24),2023-24,15
3098,Tyrese Haliburton (2023-24),2023-24,11
3097,Tyrese Haliburton (2023-24),2023-24,12
3096,Tyrese Haliburton (2023-24),2023-24,18
3095,Tyrese Haliburton (2023-24),2023-24,7
3094,Tyrese Haliburton (2023-24),2023-24,6
3093,Tyrese Haliburton (2023-24),2023-24,17
3108,Tyrese Haliburton (2023-24),2023-24,16
3102,Tyrese Haliburton (2023-24),2023-24,15
3110,Tyrese Haliburton (2023-24),2023-24,13
3118,Tyrese Haliburton (2023-24),2023-24,17
3111,Tyrese Haliburton (2023-24),2023-24,10
3124,Tyrese Haliburton (2023-24),2023-24,13
3123,Tyrese Haliburton (2023-24),2023-24,13
3122,Tyrese Haliburton (2023-24),2023-24,12
3121,Tyrese Haliburton (2023-24),2023-24,8
3120,Tyrese Haliburton (2023-24),2023-24,13
3119,Tyrese Haliburton (2023-24),2023-24,10
3125,Tyrese Haliburton (2023-24),2023-24,13
3117,Tyrese Haliburton (2023-24),2023-24,15
3116,Tyrese Haliburton (2023-24),2023-24,3
3115,Tyrese Haliburton (2023-24),2023-24,16
3114,Tyrese Haliburton (2023-24),2023-24,16
3113,Tyrese Haliburton (2023-24),2023-24,10
3112,Tyrese Haliburton (2023-24),2023-24,9
3046,Trae Young (2022-23),2022-23,6
3039,Trae Young (2022-23),2022-23,8
3040,Trae Young (2022-23),2022-23,9
3041,Trae Young (2022-23),2022-23,11
3042,Trae Young (2022-23),2022-23,14
3043,Trae Young (2022-23),2022-23,17
3044,Trae Young (2022-23),2022-23,12
3045,Trae Young (2022-23),2022-23,16
3049,Trae Young (2022-23),2022-23,11
3047,Trae Young (2022-23),2022-23,12
3048,Trae Young (2022-23),2022-23,10
3037,Trae Young (2022-23),2022-23,11
3050,Trae Young (2022-23),2022-23,13
3051,Trae Young (2022-23),2022-23,12
3052,Trae Young (2022-23),2022-23,6
3053,Trae Young (2022-23),2022-23,12
3038,Trae Young (2022-23),2022-23,7
3020,Trae Young (2022-23),2022-23,20
3036,Trae Young (2022-23),2022-23,10
3035,Trae Young (2022-23),2022-23,7
3056,Trae Young (2022-23),2022-23,11
3021,Trae Young (2022-23),2022-23,16
3022,Trae Young (2022-23),2022-23,12
3023,Trae Young (2022-23),2022-23,6
3024,Trae Young (2022-23),2022-23,10
